[00:09:28.600 --> 00:09:31.100]  今天的話大概我們是從兩個維度
[00:10:48.200 --> 00:10:49.400]  現在可能我會懷疑些
[00:10:49.400 --> 00:10:50.900]  為什麼這個形很好
[00:10:50.900 --> 00:10:52.200]  但是長不起來
[00:10:52.200 --> 00:10:56.800]  可能一個因素確確實實是形的細節的量價問題
[00:10:57.100 --> 00:10:57.700]  不夠好
[00:10:57.700 --> 00:11:01.900]  另外一個因素確實就是我們說的形再好沒有封口
[00:11:01.900 --> 00:11:02.700]  所以它起不來
[00:11:02.700 --> 00:11:07.200]  就是我們一定要就是怎麼應該用那個字來就立體
[00:11:07.200 --> 00:11:09.400]  所有的確定性
[00:11:09.400 --> 00:11:11.600]  我覺得相對吧沒有確定性機會
[00:11:11.600 --> 00:11:13.500]  沒有完全確定性機會
[00:11:13.500 --> 00:11:16.000]  相對確定性的機會一定是立體的
[00:11:16.000 --> 00:11:17.300]  一定是立體的
[00:11:17.300 --> 00:11:19.000]  所以我們就慢慢來分享啊
[00:11:19.000 --> 00:11:21.000]  今天我們首先說的
[00:11:21.000 --> 00:11:23.500]  對不好意思你們有白板嗎
[00:11:23.800 --> 00:11:24.300]  沒有
[00:11:24.300 --> 00:11:31.400]  有白板的話能不能幫我借一個
[00:11:31.400 --> 00:11:35.100]  好像就是那後面是不是有了那不是
[00:11:35.100 --> 00:11:38.100]  有白板的話能不能幫我借一個謝謝
[00:11:38.100 --> 00:11:43.900]  對我首先要確定的就是我們要做什麼
[00:11:43.900 --> 00:11:47.100]  這是我自己會經常對自己說的
[00:11:47.100 --> 00:11:49.500]  就是我們要做什麼機會
[00:11:49.500 --> 00:11:52.000]  然後我這次在做什麼機會的時候呢
[00:11:52.000 --> 00:11:53.900]  我可能會跟大家說聊一下福利
[00:11:53.900 --> 00:11:58.100]  我之前啊就是我之前的一個思維模式
[00:11:58.100 --> 00:12:01.000]  就是一定要賺比就是我看的一定要看大的
[00:12:01.000 --> 00:12:03.900]  不是中期中長期我就不看啊
[00:12:03.900 --> 00:12:05.900]  就是我自己好多年以來的這種
[00:12:05.900 --> 00:12:09.200]  這種思維模式或者是影響我的吧
[00:12:09.200 --> 00:12:11.400]  就是最早影響我的一句話就是叫
[00:12:11.400 --> 00:12:13.600]  三年不開張開張吃三年
[00:12:13.600 --> 00:12:16.200]  啊我我之前幾年也都是這樣子的
[00:12:16.200 --> 00:12:18.600]  開張吃三年這兩年都不怎麼賺錢
[00:12:18.600 --> 00:12:21.600]  像我說實話我去年前年也不怎麼賺錢就賺點小錢
[00:12:22.200 --> 00:12:24.500]  啊就是這種觀念會確實會
[00:12:24.500 --> 00:12:26.300]  很長時間的影響到我
[00:12:26.300 --> 00:12:28.400]  現在我呢就發生了一些變化
[00:12:28.400 --> 00:12:31.100]  我覺得不得不考慮負力兩個字
[00:12:31.100 --> 00:12:34.000]  就是一定要考就是
[00:12:34.000 --> 00:12:36.600]  就是我今年可能開始考慮負力兩個字了
[00:12:36.600 --> 00:12:39.000]  以前我在包括去年也好前年也好
[00:12:39.000 --> 00:12:40.500]  我每天在復盤
[00:12:40.500 --> 00:12:43.700]  或者是我在看待機會的時候我的某定點是什麼呢
[00:12:43.700 --> 00:12:46.100]  有沒有中長期有沒有中期
[00:12:46.100 --> 00:12:48.700]  甚至實在不行就30分鐘級別
[00:12:48.700 --> 00:12:50.000]  但大家可以看到了
[00:12:50.300 --> 00:12:52.600]  我們年後到現在或者是去年
[00:12:52.600 --> 00:12:54.400]  五六月份開始到現在啊
[00:12:54.400 --> 00:12:57.400]  我們要去某定一個板塊指數走中期
[00:12:57.400 --> 00:12:58.400]  基本上啊
[00:12:58.400 --> 00:13:01.400]  看不到啊中期下跌能看到對吧
[00:13:01.400 --> 00:13:04.800]  要去某定一個板塊走中長期更是看不到啊
[00:13:04.800 --> 00:13:06.500]  中長期下跌我們看到了
[00:13:06.500 --> 00:13:08.100]  那我們要去某定一個
[00:13:08.100 --> 00:13:10.700]  30分鐘級別的行情
[00:13:10.700 --> 00:13:12.900]  從去年到現在也某定不到
[00:13:12.900 --> 00:13:16.100]  也某定不到因為大家可以看到板塊指數
[00:13:16.100 --> 00:13:19.200]  90%以上都是周線空頭
[00:13:19.400 --> 00:13:23.000]  雖然上陣指數是周線多頭了對不對
[00:13:23.000 --> 00:13:26.200]  但是90%以上的板塊指數都是屬於什麼
[00:13:26.200 --> 00:13:27.300]  周線空頭
[00:13:27.300 --> 00:13:29.500]  所以我們一直以來的邏輯就是
[00:13:29.500 --> 00:13:32.500]  先板塊再個股這個我相信大家一直以來是
[00:13:32.500 --> 00:13:35.400]  就是從從21年我那個時候開始分享的時候
[00:13:35.400 --> 00:13:38.500]  就已經不斷的在強調了先板塊再個股
[00:13:38.500 --> 00:13:41.800]  這句話也很重要啊也非常的重要就是
[00:13:41.800 --> 00:13:45.800]  我們所講的板塊不好個股很難好啊很難好
[00:13:45.800 --> 00:13:47.700]  那我為什麼說講的負力呢
[00:13:47.700 --> 00:13:49.000]  未來的行情
[00:13:49.600 --> 00:13:51.400]  從大方向我後跟他聊的
[00:13:51.400 --> 00:13:53.800]  從大方向來看我說真心話我是
[00:13:53.800 --> 00:13:55.400]  三五年我都看好的
[00:13:55.400 --> 00:13:59.600]  但是看好的這個推動因素是什麼我不知道
[00:13:59.600 --> 00:14:03.000]  啊就是看好他未來他能夠走好的
[00:14:03.000 --> 00:14:04.600]  推動因素是什麼我不知道
[00:14:04.600 --> 00:14:06.600]  因為這就需要從政策面對吧
[00:14:06.600 --> 00:14:10.000]  像像今天早上還脫又推推到關於那個家
[00:14:10.000 --> 00:14:12.000]  家官就是什麼
[00:14:12.000 --> 00:14:13.100]  四國吧
[00:14:13.100 --> 00:14:16.800]  家關稅的那個消息就是現在兩國博弈
[00:14:16.800 --> 00:14:18.600]  其實都是很很激烈的
[00:14:18.600 --> 00:14:21.400]  那具體最終傳導到資本市場有什麼
[00:14:21.400 --> 00:14:23.800]  那個變化這是邊走邊看是動態的
[00:14:23.800 --> 00:14:26.900]  但從市場的規律的角度來講我認為已經是
[00:14:26.900 --> 00:14:28.300]  這個位置是坑底
[00:14:28.300 --> 00:14:31.900]  但這個坑底是搞是會坑個一年
[00:14:31.900 --> 00:14:33.400]  還是一年多
[00:14:33.400 --> 00:14:36.900]  這個不是我們能夠就是就是很難去定量的
[00:14:36.900 --> 00:14:38.400]  很難去定量的
[00:14:38.400 --> 00:14:41.700]  所以通過大的方向裡面我講的負力是在這
[00:14:41.700 --> 00:14:44.000]  通過大的方向裡面我們瞭解到
[00:14:44.000 --> 00:14:45.900]  這個位置應該是一個
[00:14:45.900 --> 00:14:47.900]  坑底的過程
[00:14:48.400 --> 00:14:50.100]  那這個坑底的過程裡面
[00:14:50.100 --> 00:14:52.700]  你要明白我們想要說中長期
[00:14:52.700 --> 00:14:53.900]  或者是中期
[00:14:53.900 --> 00:14:56.900]  其實相對來講除了個股非常非常的牛
[00:14:56.900 --> 00:14:58.600]  整體性的是很少
[00:14:58.600 --> 00:15:01.100]  做不到像以往這種階段的時候
[00:15:01.100 --> 00:15:01.800]  對吧
[00:15:01.800 --> 00:15:03.700]  或者是這種階段的時候是做不到的
[00:15:03.700 --> 00:15:06.500]  因為我們現在這種坑底的錯誤
[00:15:06.500 --> 00:15:09.000]  只有這個坑底形成了比如說一年以後
[00:15:09.000 --> 00:15:10.400]  或者是或年底
[00:15:10.400 --> 00:15:11.800]  或者一年多以後
[00:15:11.800 --> 00:15:15.200]  我們才知道這個坑底哪個方向具備中期中長期
[00:15:15.200 --> 00:15:17.000]  去支撐後面的這種
[00:15:17.100 --> 00:15:18.400]  或哪幾個方向吧
[00:15:18.400 --> 00:15:21.000]  去支撐後面的這種我們說的結構性牛市
[00:15:21.000 --> 00:15:21.800]  或者是慢
[00:15:21.800 --> 00:15:25.000]  不管是結構性慢牛還是結構性牛市的一個支撐
[00:15:25.000 --> 00:15:27.200]  那負力兩個字有何而然
[00:15:27.200 --> 00:15:29.800]  既然我們已經看到這個坑底段
[00:15:29.800 --> 00:15:31.400]  是間之內又很難走出
[00:15:31.400 --> 00:15:34.000]  這種中期中長期的一個什麼
[00:15:34.000 --> 00:15:36.700]  中期中長期的一個趨勢對不對
[00:15:36.700 --> 00:15:38.600]  那麼在這個過程中也就
[00:15:38.600 --> 00:15:41.700]  會告訴我們主要產生是什麼什麼樣的一個機會
[00:15:41.700 --> 00:15:45.200]  就是板塊所帶來的局部的
[00:15:45.600 --> 00:15:48.100]  30分鐘級別或者是15分鐘級別的
[00:15:48.100 --> 00:15:49.300]  小短線
[00:15:49.300 --> 00:15:52.700]  對吧就是我們我所有的一切一定要先有大局關
[00:15:52.700 --> 00:15:54.900]  就是大局因為我還會跟他在聊的
[00:15:54.900 --> 00:15:56.400]  就我先聊負力兩個字
[00:15:56.400 --> 00:15:58.400]  既然我們了解了這個大局關
[00:15:58.400 --> 00:16:00.500]  目前可能像24年
[00:16:00.500 --> 00:16:03.300]  甚至可能會到25年的年初
[00:16:03.300 --> 00:16:04.800]  但這裡可能會跟著經濟
[00:16:04.800 --> 00:16:06.300]  就是我們說政策的變化
[00:16:06.300 --> 00:16:09.400]  或者博弈的變化會發生變動啊
[00:16:09.400 --> 00:16:11.100]  但我們明白一點就是這個
[00:16:11.100 --> 00:16:12.400]  或者只能產生小機會
[00:16:12.400 --> 00:16:13.700]  那麼小機會叫什麼
[00:16:14.000 --> 00:16:17.100]  小機會叫以小積多負力增長
[00:16:17.100 --> 00:16:20.700]  小機會叫以小積多負力增長
[00:16:20.700 --> 00:16:23.500]  所以像這一次我跟大家分享量價博弈
[00:16:23.500 --> 00:16:25.900]  可能我會就是從這個維度
[00:16:25.900 --> 00:16:28.100]  去跟大家包括分享知識點
[00:16:28.100 --> 00:16:31.700]  或者是就是會降維到周線和日線
[00:16:31.700 --> 00:16:33.300]  甚至日線的一個小結構
[00:16:33.300 --> 00:16:36.500]  就是我們叫什麼以小增多負力增長
[00:16:36.500 --> 00:16:38.800]  所以我覺得可能24年的一個
[00:16:38.800 --> 00:16:39.900]  盈利的一個什麼
[00:16:39.900 --> 00:16:42.800]  就是賺錢的一個預期目標應該是這
[00:16:43.200 --> 00:16:43.900]  8個字
[00:16:43.900 --> 00:16:47.600]  而不是我們一直會心心念念的
[00:16:47.600 --> 00:16:50.200]  2020年啊新能源的誇一波
[00:16:50.200 --> 00:16:52.600]  或者是啊或者是醫藥的誇一波
[00:16:52.600 --> 00:16:53.900]  啪翻個幾倍
[00:16:53.900 --> 00:16:56.100]  因為我們大多數都經歷過
[00:16:56.100 --> 00:16:58.700]  股價不管你是做到或也好
[00:16:58.700 --> 00:17:00.600]  或者是最起碼都是看到啊
[00:17:00.600 --> 00:17:02.600]  股價蹭怎麼翻幾倍的對不對
[00:17:02.600 --> 00:17:04.200]  所以我們永遠都希望哎
[00:17:04.200 --> 00:17:06.200]  我什麼時候能做一個這樣子的股票
[00:17:06.200 --> 00:17:08.800]  就會忘記了什麼忘記了天時
[00:17:08.800 --> 00:17:10.500]  大家認同吧
[00:17:10.500 --> 00:17:12.100]  就會忽略了天時
[00:17:12.300 --> 00:17:14.500]  而因為忽略了天時就會變化的什麼
[00:17:14.500 --> 00:17:15.400]  該出不出
[00:17:15.400 --> 00:17:17.200]  啊然後呢
[00:17:17.200 --> 00:17:19.500]  彷彿坐山車就完成不了
[00:17:19.500 --> 00:17:21.200]  我說的兩個字就是負力
[00:17:21.200 --> 00:17:24.100]  就是這是什麼時事做什麼事
[00:17:24.100 --> 00:17:25.300]  大家能明白我意思沒有
[00:17:25.300 --> 00:17:27.800]  所以我說今年我們在就是這次
[00:17:27.800 --> 00:17:30.000]  量價學習知識體系是不變的
[00:17:30.000 --> 00:17:32.000]  但是今年我給大家的是
[00:17:32.000 --> 00:17:33.600]  這個教育的一個
[00:17:33.600 --> 00:17:35.100]  就放在那裡
[00:17:35.100 --> 00:17:37.300]  一個思路就是我們講的以小
[00:17:37.300 --> 00:17:39.000]  積多負力增長
[00:17:39.000 --> 00:17:41.000]  啊就是這個局勢來決定的
[00:17:41.100 --> 00:17:43.100]  那在我們正式開始分享之前
[00:17:43.100 --> 00:17:45.500]  我先跟大家聊一下我對市場的一個理解
[00:17:45.500 --> 00:17:46.500]  呃
[00:17:46.500 --> 00:17:48.700]  我聊我的看法啊
[00:17:48.700 --> 00:17:51.000]  我聊一下我的看法從長期來看
[00:17:51.000 --> 00:17:54.500]  首先就是我在聊的過程中呢
[00:17:54.500 --> 00:17:56.500]  我融合的更多的
[00:17:56.500 --> 00:17:58.200]  就是我
[00:17:58.200 --> 00:18:01.200]  這麼多年對於大市的一個判斷的
[00:18:01.200 --> 00:18:02.600]  交易體系吧
[00:18:02.600 --> 00:18:03.400]  就是我也
[00:18:03.400 --> 00:18:06.600]  表達方式可能也不是那麼健全啊
[00:18:06.600 --> 00:18:09.600]  我對股市的理解就是陰陽思維
[00:18:10.600 --> 00:18:12.800]  也就是我一直說的雄牛雄反
[00:18:12.800 --> 00:18:15.400]  就是我對於我們說我們資本
[00:18:15.400 --> 00:18:17.700]  我們股市我們資本市場的特色
[00:18:17.700 --> 00:18:20.300]  中國股市的特色是陰陽
[00:18:20.300 --> 00:18:23.000]  博弈雄牛雄反
[00:18:23.000 --> 00:18:24.400]  大家認同吧
[00:18:24.400 --> 00:18:25.800]  就是目前來講
[00:18:25.800 --> 00:18:28.100]  我覺得我們還沒有改變這樣一個
[00:18:28.100 --> 00:18:30.800]  格局未來會不會改變
[00:18:30.800 --> 00:18:32.100]  那是未來的事
[00:18:32.100 --> 00:18:34.400]  但是目前我們看不到改變的這樣一個
[00:18:34.400 --> 00:18:36.600]  格局大家首先我們要了解就是
[00:18:36.600 --> 00:18:37.900]  大家自己認同吧
[00:18:37.900 --> 00:18:38.700]  因為
[00:18:39.000 --> 00:18:40.800]  所以在這個過程中我在思考
[00:18:40.800 --> 00:18:41.800]  會不會改變
[00:18:41.800 --> 00:18:43.400]  這個真的很容易甩起來
[00:18:43.400 --> 00:18:45.500]  會不會容易改變
[00:18:45.500 --> 00:18:47.300]  但最終還證實了
[00:18:47.300 --> 00:18:49.900]  結構牛到位了就得結構雄
[00:18:49.900 --> 00:18:51.100]  證實了哎
[00:18:51.100 --> 00:18:53.800]  我們短我們的這個慢牛格局是
[00:18:53.800 --> 00:18:56.300]  沒有那麼容易產生的
[00:18:56.300 --> 00:18:58.600]  對於我們說新的這一屆
[00:18:58.600 --> 00:19:00.600]  政見會領導他會不會啊
[00:19:00.600 --> 00:19:02.700]  通過我們現在可以看到各種政策啊
[00:19:02.700 --> 00:19:05.500]  對吧新國九條包括這個 st 排列等等
[00:19:05.500 --> 00:19:07.400]  會不會發生變化我覺得也是
[00:19:07.800 --> 00:19:10.700]  需要需要需要三五年的時間才能看出來的
[00:19:10.700 --> 00:19:12.900]  那麼從未來三五年的時間來看
[00:19:12.900 --> 00:19:14.200]  陰陽循環
[00:19:14.200 --> 00:19:16.800]  熊牛循環的格局
[00:19:16.800 --> 00:19:18.800]  我們的特色主義不會變
[00:19:18.800 --> 00:19:20.900]  這是我我受判斷市場的一個
[00:19:20.900 --> 00:19:22.400]  核心主體
[00:19:22.400 --> 00:19:23.800]  既然是一
[00:19:23.800 --> 00:19:27.000]  就是我們說陰陽思維和牛熊循環
[00:19:27.000 --> 00:19:30.100]  他就很很明顯的透徵
[00:19:30.100 --> 00:19:32.000]  下跌是吧
[00:19:32.000 --> 00:19:33.800]  我們就是下跌就是三波段
[00:19:33.800 --> 00:19:35.200]  下跌就是三波段
[00:19:35.200 --> 00:19:36.500]  下跌都是三波段
[00:19:36.600 --> 00:19:38.600]  下跌都是三波段
[00:19:38.600 --> 00:19:42.400]  我們可以看到就是他陰陽循環裡面
[00:19:42.400 --> 00:19:44.500]  我們講他就準備有陽起動
[00:19:44.500 --> 00:19:46.500]  陽接力陽瘋狂陽衰竭
[00:19:46.500 --> 00:19:48.300]  這麼一個循環的過程
[00:19:48.300 --> 00:19:50.500]  那這個循環的過程之後
[00:19:50.500 --> 00:19:52.600]  只有一條路就是新生
[00:19:52.600 --> 00:19:56.400]  我說的陰的那個循環結束之後
[00:19:56.400 --> 00:19:58.400]  只有一條路那就是新生
[00:19:58.400 --> 00:20:02.600]  大家這句話一定要就是這就是什麼信念
[00:20:02.600 --> 00:20:04.400]  這就是信念
[00:20:04.600 --> 00:20:07.200]  所有就是你過去的循環完成之後
[00:20:07.200 --> 00:20:09.800]  就是新生就是新的變化
[00:20:09.800 --> 00:20:12.200]  就像在這裡上漲的過程中呢
[00:20:12.200 --> 00:20:13.400]  這個陽循環
[00:20:13.400 --> 00:20:17.000]  他從陽起動陽接力陽瘋狂陽衰竭
[00:20:17.000 --> 00:20:18.000]  甚至不用衰竭
[00:20:18.000 --> 00:20:20.600]  他的陽循環結束之後
[00:20:20.600 --> 00:20:22.200]  只有一條路就是新生
[00:20:22.200 --> 00:20:25.100]  新生是什麼就開始新的什麼
[00:20:25.100 --> 00:20:26.200]  陰循環
[00:20:26.200 --> 00:20:30.500]  這是這是我覺得你一定要根深蒂固的
[00:20:30.500 --> 00:20:32.500]  能夠記在你的腦海裡面的
[00:20:32.800 --> 00:20:35.800]  那用這一條我們就前面我們就不看了
[00:20:35.800 --> 00:20:37.100]  之前我們都分享過
[00:20:37.100 --> 00:20:38.300]  我們就來看這一段
[00:20:38.300 --> 00:20:41.700]  這一段的循環是這樣的牛熊循環
[00:20:41.700 --> 00:20:43.000]  你有沒有可以看
[00:20:43.000 --> 00:20:44.000]  這是什麼
[00:20:44.000 --> 00:20:46.200]  牛我們現在是猜底
[00:20:46.200 --> 00:20:48.500]  所以我們不是看這個循環
[00:20:48.500 --> 00:20:49.600]  我們是看牛熊
[00:20:49.600 --> 00:20:52.400]  就是這個熊是過去的什麼
[00:20:52.400 --> 00:20:54.200]  修正對不對
[00:20:54.200 --> 00:20:56.400]  就是這個熊是過去的修正
[00:20:56.400 --> 00:20:59.900]  牛熊這個牛的走勢到這個熊的走勢
[00:20:59.900 --> 00:21:02.100]  他的時間空間結構
[00:21:02.600 --> 00:21:03.200]  匹配
[00:21:03.200 --> 00:21:06.100]  那他的陰循環結束就是新生
[00:21:06.100 --> 00:21:09.700]  那我們說從結束到新生
[00:21:09.700 --> 00:21:12.800]  有一個交接期也可以叫一個混沌期
[00:21:12.800 --> 00:21:15.400]  那這個就是我們以前是波段結構學裡面的
[00:21:15.400 --> 00:21:17.900]  所講的有相流轉做底略這樣的過程
[00:21:17.900 --> 00:21:19.400]  這個叫混沌期對不對
[00:21:19.400 --> 00:21:22.200]  那我們可以看到這個新生
[00:21:22.200 --> 00:21:23.300]  隨後我們再來看
[00:21:23.300 --> 00:21:24.300]  這是一個牛
[00:21:24.300 --> 00:21:24.600]  對吧
[00:21:24.600 --> 00:21:26.500]  他是走出時間非常強的
[00:21:26.500 --> 00:21:27.800]  然後這是一個什麼
[00:21:27.800 --> 00:21:29.900]  結構是哪個熊也是三波段
[00:21:29.900 --> 00:21:31.700]  到這個位置完成了他的什麼
[00:21:32.000 --> 00:21:33.000]  新生期
[00:21:33.000 --> 00:21:34.900]  然後牛熊
[00:21:34.900 --> 00:21:38.300]  三波段結束了完成他的新生期
[00:21:38.300 --> 00:21:39.500]  那我們再來看
[00:21:39.500 --> 00:21:41.200]  這是我們結構性的牛
[00:21:41.200 --> 00:21:42.500]  創業保護更明顯
[00:21:42.500 --> 00:21:44.600]  那麼現在是不是結構性的熊
[00:21:44.600 --> 00:21:45.800]  同樣是不是
[00:21:45.800 --> 00:21:46.900]  三波段
[00:21:46.900 --> 00:21:50.900]  這裡的時間和這裡的時間是被相接近匹配
[00:21:50.900 --> 00:21:53.300]  大家這個理解我的意思沒有
[00:21:53.300 --> 00:21:55.200]  我們先看大方向大勢
[00:21:55.200 --> 00:21:56.900]  這個大勢看明白了
[00:21:56.900 --> 00:21:59.000]  我們就開始瞭解比如說後面會講
[00:21:59.300 --> 00:22:02.200]  中長期的勢的變化
[00:22:02.200 --> 00:22:03.800]  那我們說24年關注的是什麼
[00:22:03.800 --> 00:22:05.800]  就是月線的這個勢的變化
[00:22:05.800 --> 00:22:08.800]  能不能由空轉多對不對
[00:22:08.800 --> 00:22:10.400]  是不是就是我們在這個過程中
[00:22:10.400 --> 00:22:11.800]  一個大方向一個格局
[00:22:11.800 --> 00:22:14.600]  那所以我認為啊
[00:22:14.600 --> 00:22:17.100]  就是之前沒有沒有走出這裡之前
[00:22:17.100 --> 00:22:18.100]  我還不確定
[00:22:18.100 --> 00:22:20.900]  但首先我覺得90%這裡是一個坑地
[00:22:20.900 --> 00:22:23.800]  但是我認為這裡不會微型反轉
[00:22:23.800 --> 00:22:28.200]  但是我認為這裡不會走出微型反轉
[00:22:28.300 --> 00:22:30.500]  應該是需要時間化空間
[00:22:30.500 --> 00:22:33.900]  來形成的這樣一個就是一個什麼
[00:22:33.900 --> 00:22:37.900]  一個就是這裡的熊與牛的一個交界期
[00:22:37.900 --> 00:22:38.900]  為什麼呢
[00:22:38.900 --> 00:22:40.500]  因為量能夠支持
[00:22:40.500 --> 00:22:43.400]  因為量能夠支持
[00:22:43.400 --> 00:22:44.900]  如果說量能
[00:22:44.900 --> 00:22:48.300]  像大家可以看到像這種已經很很什麼
[00:22:48.300 --> 00:22:51.100]  就是如果現在還有一點就是股票公司太多太多了
[00:22:51.100 --> 00:22:55.000]  它不可能說像過去的這個市場也會發生變化
[00:22:55.000 --> 00:22:57.400]  所以這裡起來是很快速的
[00:22:57.500 --> 00:22:59.700]  這個過程中的起來增量大家給大家
[00:22:59.700 --> 00:23:00.800]  這個是增量不足
[00:23:00.800 --> 00:23:01.900]  所以它就需要什麼
[00:23:01.900 --> 00:23:04.700]  時間放空間的一個過程
[00:23:04.700 --> 00:23:06.900]  所以這裡我這也是增量不足
[00:23:06.900 --> 00:23:07.700]  實際要放空間
[00:23:07.700 --> 00:23:09.400]  包括2019年的創業版
[00:23:09.400 --> 00:23:11.300]  增量很ok
[00:23:11.300 --> 00:23:13.500]  所以它後面的時間相對短一點
[00:23:13.500 --> 00:23:15.500]  但這個位置我們能確定的一點
[00:23:15.500 --> 00:23:18.500]  就是我能確定的一點就是它的熊已經結束了
[00:23:18.500 --> 00:23:23.100]  那麼我們從24年或者是24年和25年吧
[00:23:23.100 --> 00:23:24.500]  這兩年的時間吧
[00:23:24.500 --> 00:23:25.500]  應該來講
[00:23:25.800 --> 00:23:28.400]  我也正是我至於說兩年還是一年
[00:23:28.400 --> 00:23:30.000]  還是一年半我不確定啊
[00:23:30.000 --> 00:23:33.800]  這個大概就是我們像有很多懂這個政政策的
[00:23:33.800 --> 00:23:34.300]  對吧
[00:23:34.300 --> 00:23:36.600]  有更更會解讀宏觀經濟的
[00:23:36.600 --> 00:23:39.100]  或者是我覺得可能你們會更有特色
[00:23:39.100 --> 00:23:40.300]  更有更有優勢
[00:23:40.300 --> 00:23:42.300]  觀念節點是什麼
[00:23:42.300 --> 00:23:45.200]  觸發了這樣一個什麼市的一個變化再認同吧
[00:23:45.200 --> 00:23:47.200]  但從市的這個節點來講
[00:23:47.200 --> 00:23:49.600]  我覺得這是一個坑比就是我們所講的
[00:23:49.600 --> 00:23:51.100]  這個坑比
[00:23:51.100 --> 00:23:53.700]  未來應該來講就是行權之後
[00:23:53.700 --> 00:23:54.900]  我自己的預期
[00:23:55.100 --> 00:23:59.500]  我覺得應該是他走這目前這裡是三年的一個週期
[00:23:59.500 --> 00:24:01.500]  所以這個坑比行權
[00:24:01.500 --> 00:24:06.000]  如果是24年25年的這個一年或一年半的週期
[00:24:06.000 --> 00:24:08.400]  來在這個區間反覆反覆就等於
[00:24:08.400 --> 00:24:11.400]  現在可以感受到的旁邊那個盤局的坑比是什麼
[00:24:11.400 --> 00:24:14.100]  沒有破局的這種
[00:24:14.100 --> 00:24:15.900]  就是增量
[00:24:15.900 --> 00:24:19.300]  要達到現在這個破局的增量基本上是
[00:24:19.300 --> 00:24:21.100]  我是看不出來
[00:24:21.100 --> 00:24:22.600]  我是看不出來
[00:24:22.700 --> 00:24:25.500]  現在只有就是我們說的階段性局部的機會
[00:24:25.500 --> 00:24:27.500]  跌不會跌的
[00:24:27.500 --> 00:24:29.100]  跌也就是什麼大不了
[00:24:29.100 --> 00:24:31.800]  說實話如果跌大不了就回到這個陽線的
[00:24:31.800 --> 00:24:32.800]  一半
[00:24:32.800 --> 00:24:36.200]  就是我認為能夠看到下一個最大的一個
[00:24:36.200 --> 00:24:37.200]  空間
[00:24:37.200 --> 00:24:38.400]  大家明白意思了
[00:24:38.400 --> 00:24:40.600]  就是我認為能夠回到最大的空間
[00:24:40.600 --> 00:24:43.200]  但是我想說的是這裡到這裡會搞多久
[00:24:43.200 --> 00:24:46.500]  應該應該一年以上的時間應該是要
[00:24:46.500 --> 00:24:48.900]  自己反覆思考
[00:24:48.900 --> 00:24:51.500]  要包括所有的把他指數全部過對照過
[00:24:51.900 --> 00:24:53.100]  從現在的各個
[00:24:53.100 --> 00:24:55.200]  把他指數是空頭
[00:24:55.200 --> 00:24:57.500]  慢慢能夠走出多頭
[00:24:57.500 --> 00:24:59.300]  並且多頭能夠形成
[00:24:59.300 --> 00:25:02.000]  走出主聲引領行情的話
[00:25:02.000 --> 00:25:04.800]  我覺得最起碼是小一年一年的時間是需要的
[00:25:04.800 --> 00:25:06.200]  那麼這個時候
[00:25:06.200 --> 00:25:08.600]  我讓認出的任務可能就是慢一點
