[00:00:00.000 --> 00:00:03.000]  大家學就應該學明白
[00:02:55.520 --> 00:02:57.080]  價格對
[00:02:57.080 --> 00:02:58.840]  價格來理解成交量
[00:02:58.840 --> 00:03:00.400]  因為價格的變化很多
[00:03:00.400 --> 00:03:01.120]  對不對
[00:03:01.120 --> 00:03:02.880]  它變化是千種千樣的
[00:03:02.880 --> 00:03:04.800]  所以我們說接下來就是先學
[00:03:04.800 --> 00:03:07.160]  變化多端的K線
[00:03:07.160 --> 00:03:10.440]  在變化多端的K線裡面找
[00:03:10.440 --> 00:03:14.080]  最強的不變的就是最強的
[00:03:14.080 --> 00:03:16.480]  把它給看明白鞭定
[00:03:16.480 --> 00:03:18.600]  那K線的角度
[00:03:18.600 --> 00:03:19.320]  等我吧
[00:03:19.320 --> 00:03:21.440]  大家現在可以把刻鍵
[00:03:21.440 --> 00:03:22.400]  轉到這個什麼
[00:03:22.400 --> 00:03:24.240]  調整到我們都展開完了
[00:03:24.240 --> 00:03:25.560]  展開到這個K線
[00:03:25.560 --> 00:03:27.080]  K線應該是在
[00:03:27.080 --> 00:03:29.200]  對成交量後面
[00:03:29.200 --> 00:03:32.720]  這裡呢
[00:03:32.720 --> 00:03:34.280]  架住的一行博弈
[00:03:34.280 --> 00:03:35.080]  大家找一找
[00:03:35.080 --> 00:03:36.640]  新刻鍵在74頁
[00:03:36.640 --> 00:03:38.800]  老刻鍵估計在80頁左右
[00:03:38.800 --> 00:03:40.680]  因為老的有三位同學是老的
[00:03:40.680 --> 00:03:41.440]  厚一點
[00:03:41.440 --> 00:03:43.160]  我刪掉了好多
[00:03:43.160 --> 00:03:45.720]  我們老同學的估計都是在80頁左右吧
[00:03:45.720 --> 00:03:47.760]  因為最更早的更多
[00:03:47.760 --> 00:03:48.800]  反應的我都
[00:03:48.800 --> 00:03:49.760]  還是沒有頁數
[00:03:49.760 --> 00:03:50.400]  嗯
[00:03:50.400 --> 00:03:51.640]  沒有頁數
[00:03:51.640 --> 00:03:52.560]  那就大家找一找
[00:03:52.560 --> 00:03:54.160]  架住的陰陽博弈
[00:03:54.160 --> 00:03:55.560]  架住的陰陽博弈
[00:03:55.560 --> 00:03:57.440]  太厚了沒有的話
[00:03:57.440 --> 00:04:00.720]  對
[00:04:00.720 --> 00:04:02.920]  架住就是我們所說的K線
[00:04:02.920 --> 00:04:06.040]  K線最重要的思維就是博弈思維
[00:04:06.040 --> 00:04:10.840]  K線最重要的思維就是博弈思維
[00:04:10.840 --> 00:04:11.560]  我最近
[00:04:11.560 --> 00:04:13.360]  我最近開始
[00:04:13.360 --> 00:04:14.360]  這兩天在家
[00:04:14.360 --> 00:04:15.400]  這幾天半天在家
[00:04:15.400 --> 00:04:18.640]  就很容易那本《生子經》把這本書
[00:04:18.640 --> 00:04:20.920]  那我覺得這邊太有意思了
[00:04:20.920 --> 00:04:21.880]  然後我再理解
[00:04:21.880 --> 00:04:22.680]  看這本書的時候
[00:04:22.680 --> 00:04:24.560]  我所有都是K線
[00:04:24.560 --> 00:04:26.480]  陽線
[00:04:26.480 --> 00:04:27.560]  陰線
[00:04:27.560 --> 00:04:29.120]  陽線
[00:04:29.120 --> 00:04:30.200]  然後陰線陽線的
[00:04:30.200 --> 00:04:32.680]  我就當作這是敵軍
[00:04:32.680 --> 00:04:34.640]  這是我軍
[00:04:34.640 --> 00:04:35.760]  對我在看那個
[00:04:35.760 --> 00:04:37.000]  就像我剛才有好多話
[00:04:37.000 --> 00:04:38.720]  我也沒辦法梳理進來
[00:04:38.720 --> 00:04:39.960]  就背也背不下來
[00:04:39.960 --> 00:04:40.920]  就看了之後
[00:04:40.920 --> 00:04:43.240]  所有的都跟古事相關的
[00:04:43.240 --> 00:04:44.440]  其他的好像不會
[00:04:44.440 --> 00:04:45.480]  反正其他的我也
[00:04:45.480 --> 00:04:46.560]  我的圈子也很窄
[00:04:46.560 --> 00:04:49.080]  就是自己做做比較家庭的工作
[00:04:49.080 --> 00:04:51.440]  好一年只要跟爸去一去
[00:04:51.440 --> 00:04:54.120]  其他的圈子也沒有了
[00:04:54.120 --> 00:05:01.120]  所以我們說K線最重要的就是博弈思維
[00:05:01.120 --> 00:05:02.040]  但打開就好了
[00:05:02.040 --> 00:05:04.440]  因為我也不是按照這個項目去給大家讀書
[00:05:04.440 --> 00:05:05.320]  對吧
[00:05:05.320 --> 00:05:07.200]  最重要的是博弈思維
[00:05:07.200 --> 00:05:09.720]  而博弈思維在我們老祖國的智慧裡面
[00:05:09.720 --> 00:05:13.440]  最更多現在是陰陽思維
[00:05:13.440 --> 00:05:17.640]  這個陰陽思維體現在是在我們的太子圖裡面
[00:05:17.640 --> 00:05:19.240]  我覺得是非常有智慧的
[00:05:19.240 --> 00:05:20.680]  這個就不給大家講太深了
[00:05:20.680 --> 00:05:21.640]  就分點一點的
[00:05:21.640 --> 00:05:22.520]  最後我給大家講一下
[00:05:22.520 --> 00:05:24.440]  最重要的就是陰陽思維
[00:05:24.440 --> 00:05:27.120]  那麼陰陽思維回到我們所說的買賣
[00:05:27.120 --> 00:05:30.520]  因為股價是在波動的
[00:05:30.520 --> 00:05:32.240]  股價是在波動的
[00:05:32.240 --> 00:05:34.880]  這個波動就跟我們的戰役一樣
[00:05:34.880 --> 00:05:37.080]  就是雙方交戰的戰役一樣
[00:05:37.080 --> 00:05:38.600]  戰役在波動的過程中
[00:05:38.600 --> 00:05:41.080]  它是以什麼為波動啊
[00:05:41.080 --> 00:05:43.960]  是不是以土地為波動的
[00:05:43.960 --> 00:05:44.640]  對吧
[00:05:44.640 --> 00:05:50.280]  那麼股價的波動它的土地就是我們所說的空間
[00:05:50.280 --> 00:05:53.480]  所以它是在空間上在進行的爭奪的
[00:05:53.480 --> 00:05:56.600]  所以我說的先理解K線的價值
[00:05:56.600 --> 00:06:00.200]  因為你首先不要看到這個K線沒感覺
[00:06:00.200 --> 00:06:04.560]  你要知道這個K線是我軍戰勝敵軍
[00:06:04.560 --> 00:06:06.000]  我軍的是個陽線
[00:06:06.000 --> 00:06:06.400]  對吧
[00:06:06.400 --> 00:06:10.960]  花錢花力氣把敵軍的堡壘子打下來的
[00:06:10.960 --> 00:06:13.560]  那你對這個陽線的感知就不一樣
[00:06:13.560 --> 00:06:18.160]  反之敵軍的陰線把我軍的堡壘給幹掉了
[00:06:18.160 --> 00:06:19.920]  那就是誰戰勝呢
[00:06:19.920 --> 00:06:20.920]  空方勝
[00:06:20.920 --> 00:06:23.040]  空方勝你再怎麼樣
[00:06:23.040 --> 00:06:25.960]  所有的那些你看一旦取得了勝利
[00:06:25.960 --> 00:06:28.560]  這個堡壘不管怎麼樣都要保一段時間
[00:06:28.560 --> 00:06:30.400]  才有可能再次被攻破吧
[00:06:30.400 --> 00:06:32.200]  或者是再次前行吧
[00:06:32.200 --> 00:06:35.840]  這就回到我們所說的股價的走勢也是一樣的
[00:06:35.840 --> 00:06:39.280]  當這個陽線把這個堡壘給攻掉了
[00:06:39.280 --> 00:06:41.400]  再怎麼樣主要在這個陽線的身體之內
[00:06:41.400 --> 00:06:43.720]  進行個什麼守護吧
[00:06:43.720 --> 00:06:45.200]  大家能理解我意思沒有
[00:06:45.200 --> 00:06:47.760]  當它連守護都守護不住
[00:06:47.760 --> 00:06:50.800]  說明這個堡壘就是一天之戰又被攻破下來的
[00:06:50.800 --> 00:06:52.040]  那就是問題
[00:06:52.040 --> 00:06:52.840]  強
[00:06:52.840 --> 00:06:55.760]  我說強者勝強的態度還不夠
[00:06:55.760 --> 00:06:58.200]  所以我希望大家在理解K線的過程中
[00:06:58.200 --> 00:07:00.600]  一定站在這個維度去思考它
[00:07:00.600 --> 00:07:02.920]  雙方交戰的維度去思考它
[00:07:02.920 --> 00:07:03.880]  那OK
[00:07:03.880 --> 00:07:05.280]  陽線我們買
[00:07:05.280 --> 00:07:07.120]  是不是買在拐點呢
[00:07:07.120 --> 00:07:09.320]  那將這個思維就知道了
[00:07:09.320 --> 00:07:12.920]  這根陽線去挑戰的
[00:07:12.920 --> 00:07:16.880]  去戰勝的是哪一根K線
[00:07:16.880 --> 00:07:17.960]  但是你們好意思了
[00:07:17.960 --> 00:07:20.880]  一會我們使用完K線之後又要做足夠的
[00:07:20.880 --> 00:07:22.480]  對吧就是你補出了這個圖
[00:07:22.480 --> 00:07:26.200]  你一天一天一天一天在加強你的這個層級
[00:07:26.200 --> 00:07:28.520]  對吧從表面的到不斷的深入
[00:07:28.520 --> 00:07:31.560]  所以最重要的K線就是陰線和陽線
[00:07:31.560 --> 00:07:35.040]  但陰線和陽線裡面它還會有一些其他K線的一些配合
[00:07:35.040 --> 00:07:36.840]  所以我們來學一點基本功
[00:07:36.840 --> 00:07:38.000]  先來學點基本功
[00:07:38.000 --> 00:07:42.600]  再來展開陰線陽線的這個區別
[00:07:42.600 --> 00:07:43.840]  那麼基本功裡面呢
[00:07:43.840 --> 00:07:47.360]  我們說K線大家都知道第一個叫大陽線
[00:07:47.360 --> 00:07:49.080]  大陽線是什麼意思呢
[00:07:49.080 --> 00:07:51.160]  我們普及一下基本功
[00:07:51.160 --> 00:07:53.640]  就是10打10的陽線
[00:07:53.640 --> 00:07:56.720]  漲幅在7%以上
[00:07:56.720 --> 00:07:59.440]  像這個什麼
[00:07:59.440 --> 00:08:01.760]  像這種二字頭開頭的
[00:08:01.760 --> 00:08:03.720]  就是20%的漲幅的
[00:08:03.720 --> 00:08:07.400]  12% 13%也是非常漂亮的
[00:08:07.400 --> 00:08:11.560]  因為我們現在的市場是一個是10%漲停
[00:08:11.560 --> 00:08:13.560]  一個是20%漲停
[00:08:13.560 --> 00:08:14.960]  所以20%的漲停
[00:08:14.960 --> 00:08:18.560]  它達到12% 13%的陽線其實也是漂亮的
[00:08:18.560 --> 00:08:20.800]  然後位置我不講了
[00:08:20.800 --> 00:08:21.600]  位置我就不講了
[00:08:21.600 --> 00:08:23.040]  主要是認識一下基本功就好
[00:08:23.040 --> 00:08:25.240]  就關於陽線
[00:08:25.240 --> 00:08:27.680]  那麼在陽線的過程之中呢
[00:08:27.680 --> 00:08:31.280]  最好是不要影線
[00:08:31.280 --> 00:08:33.480]  最好不要有影線
[00:08:33.480 --> 00:08:37.480]  最好不要有影線
[00:08:37.480 --> 00:08:40.080]  如果有影線的話最好是上影線
[00:08:40.080 --> 00:08:42.080]  不要是下影線
[00:08:42.080 --> 00:08:44.280]  對於陽線的健康
[00:08:44.280 --> 00:08:47.280]  我先說健康的陽線
[00:08:47.280 --> 00:08:50.280]  我們先說健康的陽線
[00:08:50.280 --> 00:08:53.280]  這個這個這個我都得改
[00:08:53.280 --> 00:08:54.680]  健康的陽線
[00:08:54.680 --> 00:08:55.680]  大家記好不好
[00:08:55.680 --> 00:08:56.680]  記筆記好不好
[00:08:56.680 --> 00:08:58.080]  我這個人比較難刻劍
[00:08:58.080 --> 00:09:00.480]  反正就是不改
[00:09:00.480 --> 00:09:02.480]  就是不想改它
[00:09:02.480 --> 00:09:05.280]  對不是我也不是難
[00:09:05.280 --> 00:09:08.280]  就是不想改它
[00:09:08.280 --> 00:09:10.280]  對我們說最健康的陽線
[00:09:10.280 --> 00:09:11.680]  就是實體陽線
[00:09:11.680 --> 00:09:12.680]  開盤價收盤價
[00:09:12.680 --> 00:09:14.880]  沒有上下影線的實體陽線
[00:09:14.880 --> 00:09:17.280]  漲幅在7%以上
[00:09:17.280 --> 00:09:19.080]  是最健康的
[00:09:19.080 --> 00:09:20.480]  其次是實體陽線
[00:09:20.480 --> 00:09:25.280]  漲幅在5%以上
[00:09:25.280 --> 00:09:27.080]  其次是實體陽線
[00:09:27.080 --> 00:09:28.680]  漲幅在5%以上
[00:09:28.680 --> 00:09:32.280]  再其次是帶有上影線的陽線
[00:09:32.280 --> 00:09:36.280]  再其次是帶有上影線的陽線
[00:09:36.280 --> 00:09:48.280]  最後才是沒有上影線
[00:09:48.280 --> 00:09:51.280]  只有帶一丟丟下影線的陽線
[00:09:51.280 --> 00:09:53.280]  就是對於它們之間的
[00:09:53.280 --> 00:09:56.280]  陽線的強弱的替進
[00:09:56.280 --> 00:09:58.280]  有個認識
[00:09:58.280 --> 00:10:00.280]  我再說一次
[00:10:00.280 --> 00:10:01.280]  陽線的強弱的替進
[00:10:01.280 --> 00:10:03.280]  第一個是實體陽線
[00:10:03.280 --> 00:10:06.280]  實體陽線就是上下影線都沒有的那種
[00:10:06.280 --> 00:10:08.280]  如果有的話就是像指甲蓋一樣的
[00:10:08.280 --> 00:10:10.280]  一丟丟看不出來的
[00:10:10.280 --> 00:10:12.280]  不會特別突出的
[00:10:12.280 --> 00:10:14.280]  它的漲幅7%以上最強
[00:10:14.280 --> 00:10:17.280]  但是20%以上的可以設定在12% 13%
[00:10:17.280 --> 00:10:20.280]  但大多數12% 13%會有上影線的
[00:10:20.280 --> 00:10:23.280]  就7%以上的為最強
[00:10:23.280 --> 00:10:25.280]  所以它們的上影線
[00:10:25.280 --> 00:10:28.280]  就7%以上的為最強
[00:10:28.280 --> 00:10:31.280]  其次5%以上的實體陽線
[00:10:31.280 --> 00:10:34.280]  再其次
[00:10:34.280 --> 00:10:37.280]  帶有上影線的實體陽線
[00:10:37.280 --> 00:10:40.280]  但這個上影線的身體不要超過
[00:10:40.280 --> 00:10:42.280]  最好就是陽線的三分之一左右
[00:10:42.280 --> 00:10:44.280]  上影線的身體
[00:10:44.280 --> 00:10:46.280]  就上影線的那個影線的尾巴
[00:10:46.280 --> 00:10:48.280]  最好只是占整個實體
[00:10:48.280 --> 00:10:51.280]  陽線實體的三分之一左右
[00:10:51.280 --> 00:10:53.280]  再其次是帶有下影線的影線
[00:10:53.280 --> 00:10:56.280]  但是下影線不要超過實體的三分之一
[00:10:56.280 --> 00:10:58.280]  剛才是可以達到三分之一
[00:10:58.280 --> 00:11:00.280]  上影線可以達三分之一左右
[00:11:00.280 --> 00:11:03.280]  但是下影線不要超過三分之一
[00:11:03.280 --> 00:11:14.280]  最低五個點吧
[00:11:14.280 --> 00:11:16.280]  最低五個點
[00:11:16.280 --> 00:11:18.280]  最低五個點
[00:11:18.280 --> 00:11:21.280]  最低五個點
[00:11:21.280 --> 00:11:26.280]  這是我們說強的
[00:11:26.280 --> 00:11:29.280]  再往下大家都知道了
[00:11:29.280 --> 00:11:30.280]  這個就不用寫了
[00:11:30.280 --> 00:11:31.280]  就是小陽線了
[00:11:31.280 --> 00:11:33.280]  比如說3%的政府的小陽線
[00:11:33.280 --> 00:11:35.280]  1%幾的政府的小陽線
[00:11:35.280 --> 00:11:38.280]  或者是0.幾的政府的小陽線
[00:11:38.280 --> 00:11:41.280]  再往下就是小陽線了都知道了
[00:11:41.280 --> 00:11:45.280]  那麼這些標準的反過來就是大影線
[00:11:46.280 --> 00:11:49.280]  這些標準的反過來就是大影線
[00:11:49.280 --> 00:11:55.280]  上影線不要超過身體的三分之一
[00:11:55.280 --> 00:11:59.280]  上影線都是不要超過三分之一是吧
[00:11:59.280 --> 00:12:01.280]  對 上影線比下影線好記住
[00:12:01.280 --> 00:12:02.280]  可以寫一下
[00:12:02.280 --> 00:12:04.280]  上影線比下影線好
[00:12:04.280 --> 00:12:06.280]  上影線是敢進攻
[00:12:06.280 --> 00:12:10.280]  總比敢往下被人給打敗了勾起來強
[00:12:10.280 --> 00:12:12.280]  上影線我敢進攻
[00:12:12.280 --> 00:12:14.280]  我先站那我收不住是另外一回事
[00:12:14.280 --> 00:12:16.280]  下影線什麼我都沒進攻
[00:12:16.280 --> 00:12:17.280]  我就被別人給打趴下了
[00:12:17.280 --> 00:12:19.280]  還得自己是最終修復起來的
[00:12:19.280 --> 00:12:20.280]  收起來的
[00:12:20.280 --> 00:12:22.280]  所以上影線比下影線要好
[00:12:22.280 --> 00:12:27.280]  我們從K線的角度去理解
[00:12:27.280 --> 00:12:32.280]  哎呀這個課金我覺得下次就20頁好了
[00:12:32.280 --> 00:12:38.280]  以後就20頁TPT差不多夠了
[00:12:41.280 --> 00:12:44.280]  陽線和陰線反過來都OK了
[00:12:44.280 --> 00:12:48.280]  這個我先不展開
[00:12:48.280 --> 00:12:50.280]  先不展開我先把知識點告知
[00:12:50.280 --> 00:12:52.280]  就是K線的要求給大家講
[00:12:52.280 --> 00:12:54.280]  然後我們再來看一下
[00:12:54.280 --> 00:12:57.280]  第二種K線
[00:12:57.280 --> 00:12:58.280]  這大陰線剛才講過了
[00:12:58.280 --> 00:13:00.280]  大陰線是反過來的
[00:13:00.280 --> 00:13:03.280]  第二種K線叫仿垂線
[00:13:03.280 --> 00:13:08.280]  仿垂線十字心
[00:13:10.280 --> 00:13:14.280]  這兩種K線我們可以把它稱為小分歧
[00:13:14.280 --> 00:13:17.280]  十字心其實還達不到小分歧
[00:13:17.280 --> 00:13:21.280]  仿垂線的上下陣服很大
[00:13:21.280 --> 00:13:27.280]  整個陣服超過了5%
[00:13:27.280 --> 00:13:33.280]  仿垂線就是他的身體可以是小瘦實體
[00:13:33.280 --> 00:13:35.280]  也可以是十字心一樣的
[00:13:36.280 --> 00:13:40.280]  最大的區別就是他的陣服應該是超過5%
[00:13:40.280 --> 00:13:41.280]  這不是5%以內
[00:13:41.280 --> 00:13:42.280]  是超過5%
[00:13:42.280 --> 00:13:45.280]  因為以前在學習的過程中是以前寄的筆記
[00:13:45.280 --> 00:13:49.280]  我覺得應該是超過5%以上
[00:13:49.280 --> 00:13:53.280]  大於5%以上的這個實體
[00:13:53.280 --> 00:13:56.280]  十字心在5%以內的陣服
[00:13:56.280 --> 00:13:57.280]  這是陣服啊
[00:13:57.280 --> 00:14:01.280]  陣服在5%以上
[00:14:01.280 --> 00:14:03.280]  實體沒關係
[00:14:03.280 --> 00:14:06.280]  你五個點的實體你給我上下陣服十幾個點
[00:14:06.280 --> 00:14:09.280]  畢竟現在有20厘米的也很正常的
[00:14:09.280 --> 00:14:11.280]  三五個點的實體
[00:14:11.280 --> 00:14:14.280]  所以不用在像課件上卡的那麼嚴苛
[00:14:14.280 --> 00:14:16.280]  以我講的為主
[00:14:16.280 --> 00:14:20.280]  實體很小上下隱線很長
[00:14:20.280 --> 00:14:24.280]  陣服在5%以上這叫仿垂線
[00:14:24.280 --> 00:14:28.280]  還有一個叫高囊線
[00:14:28.280 --> 00:14:31.280]  高囊線的陣服就超過7%
[00:14:32.280 --> 00:14:33.280]  對高囊線
[00:14:33.280 --> 00:14:34.280]  高囊線跟這個一樣呢
[00:14:34.280 --> 00:14:35.280]  跟仿垂線一樣
[00:14:35.280 --> 00:14:38.280]  那它的陣服就超過7%了
[00:14:38.280 --> 00:14:41.280]  因為陣服是
[00:14:41.280 --> 00:14:44.280]  像現在我們說的7%以上的陣服就很大了嘛
[00:14:44.280 --> 00:14:46.280]  分歧很大了嘛
[00:14:46.280 --> 00:14:51.280]  所以高囊線是超過7%
[00:14:51.280 --> 00:14:54.280]  然後5%以上是仿垂線
[00:14:54.280 --> 00:14:57.280]  那反之5%以下就是十字心
[00:14:57.280 --> 00:15:00.280]  5%以內
[00:15:00.280 --> 00:15:02.280]  因為它們的K線走勢都是差不多的
[00:15:02.280 --> 00:15:04.280]  就是都有上下隱線
[00:15:04.280 --> 00:15:06.280]  十字心呢 仿垂線呢 高囊線呢
[00:15:06.280 --> 00:15:08.280]  它都有上下隱線
[00:15:08.280 --> 00:15:12.280]  對 這個大概就是先把K線
[00:15:12.280 --> 00:15:14.280]  我們認識它
[00:15:14.280 --> 00:15:16.280]  認識就好
[00:15:16.280 --> 00:15:26.280]  那麼這還有一個就是長上隱線和長下隱線
[00:15:28.280 --> 00:15:31.280]  長上隱線和長下隱線
[00:15:31.280 --> 00:15:33.280]  那麼這個代表什麼呢
[00:15:33.280 --> 00:15:35.280]  就是隱線單根隱線很長
[00:15:35.280 --> 00:15:37.280]  另外一個隱線很短
[00:15:37.280 --> 00:15:41.280]  反過來就是長上隱線
[00:15:41.280 --> 00:15:42.280]  反過來就是長下隱線
[00:15:42.280 --> 00:15:43.280]  一個上一個下
[00:15:43.280 --> 00:15:45.280]  它們基本上隱線都是很長
[00:15:45.280 --> 00:15:46.280]  長多少呢
[00:15:46.280 --> 00:15:48.280]  我們也可以說隱線是實體的2到3倍
[00:15:48.280 --> 00:15:50.280]  也可以4 5倍
[00:15:50.280 --> 00:15:52.280]  這個就是
[00:15:52.280 --> 00:15:54.280]  這個就是都行的
[00:15:54.280 --> 00:15:56.280]  我覺得應該都行
[00:15:56.280 --> 00:15:58.280]  都行
[00:15:58.280 --> 00:16:00.280]  就是長上隱線和長下隱線
[00:16:00.280 --> 00:16:05.280]  那麼在認知的裡面
[00:16:05.280 --> 00:16:07.280]  沒有尾巴的
[00:16:07.280 --> 00:16:08.280]  我先把這K線講完
[00:16:08.280 --> 00:16:09.280]  這裡面有些細節的
[00:16:09.280 --> 00:16:10.280]  我要跟大家分享的
[00:16:10.280 --> 00:16:12.280]  沒有尾巴的就是垂子線
[00:16:12.280 --> 00:16:18.280]  就是剛才長上下隱線是有點尾巴的
[00:16:18.280 --> 00:16:19.280]  對不對
[00:16:19.280 --> 00:16:21.280]  什麼尾巴都沒有的就是垂子線
[00:16:21.280 --> 00:16:23.280]  但它的正幅也是超過5%的
[00:16:23.280 --> 00:16:26.280]  不是5%或7%的
[00:16:26.280 --> 00:16:27.280]  我建議大家記筆記
[00:16:27.280 --> 00:16:29.280]  記完筆記我講課件的時候
[00:16:29.280 --> 00:16:31.280]  你再跟著我的課件來
[00:16:31.280 --> 00:16:33.280]  因為我還沒
[00:16:33.280 --> 00:16:34.280]  等我一講完你就
[00:16:34.280 --> 00:16:35.280]  這裡記點那裡記點
[00:16:35.280 --> 00:16:37.280]  最後一講完你又要梳理了
[00:16:37.280 --> 00:16:46.280]  好就是我剛才所講的這幾種K線
[00:16:46.280 --> 00:16:49.280]  那麼這幾種K線大家都認識了
[00:16:49.280 --> 00:16:52.280]  K線圖上應該都經常看了吧
[00:16:52.280 --> 00:16:54.280]  我剛才所講的
[00:16:54.280 --> 00:16:56.280]  仿垂線 高浪線
[00:16:56.280 --> 00:16:58.280]  長上隱線 長下隱線
[00:16:58.280 --> 00:17:00.280]  吊頂線 垂子線
[00:17:00.280 --> 00:17:02.280]  大家這個都經常看到了吧
[00:17:02.280 --> 00:17:04.280]  那麼這一類K線
