[00:00:00.000 --> 00:00:02.800]  你告诉我哪来的
[00:02:54.200 --> 00:02:56.200]  六个模型 对
[00:02:56.200 --> 00:02:58.200]  一有两个变异
[00:02:58.200 --> 00:03:00.200]  二 三 四 五
[00:03:00.200 --> 00:03:02.200]  六是那个
[00:03:02.200 --> 00:03:04.200]  君长大哥来补充
[00:03:04.200 --> 00:03:06.200]  六个
[00:03:06.200 --> 00:03:08.200]  模型六是你们那一期课上上的
[00:03:08.200 --> 00:03:10.200]  模型一有两个风光光线就是变异模型
[00:03:10.200 --> 00:03:14.200]  风光光线
[00:03:14.200 --> 00:03:16.200]  忘记了
[00:03:16.200 --> 00:03:18.200]  反正那个很牛的模型你来画一下
[00:03:18.200 --> 00:03:22.200]  对 在他们之前都没有怎么讲过的
[00:03:22.200 --> 00:03:24.200]  就到你们那一期才开始增加的
[00:03:24.200 --> 00:03:28.200]  对 然后我们把这个模型画完之后
[00:03:28.200 --> 00:03:30.200]  我来跟大家讲 因为所有的模型
[00:03:30.200 --> 00:03:32.200]  其实我们所说的就是
[00:03:32.200 --> 00:03:34.200]  资金做有准备而为之
[00:03:34.200 --> 00:03:36.200]  而去做出一定的
[00:03:36.200 --> 00:03:38.200]  拉升
[00:03:38.200 --> 00:03:40.200]  那么这个有准备而为之
[00:03:40.200 --> 00:03:42.200]  它就有计划
[00:03:42.200 --> 00:03:44.200]  有计划的过程中就会有
[00:03:44.200 --> 00:03:46.200]  节奏上的一些
[00:03:46.200 --> 00:03:48.200]  波动 那这些节奏上的波动
[00:03:48.200 --> 00:03:50.200]  我们需要在拉升之前能够
[00:03:50.200 --> 00:03:52.200]  很好的看得出来
[00:03:52.200 --> 00:03:54.200]  能够很好的判断出来
[00:03:54.200 --> 00:04:00.200]  小维维继续画
[00:04:00.200 --> 00:04:02.200]  那我们回到就是
[00:04:02.200 --> 00:04:04.200]  刚才所讲的
[00:04:04.200 --> 00:04:06.200]  我们在今天就是开始
[00:04:06.200 --> 00:04:08.200]  我为什么昨天不讲这个知识点
[00:04:08.200 --> 00:04:10.200]  我觉得再讲你们也要懵圈了
[00:04:10.200 --> 00:04:12.200]  脑子吸收的已经
[00:04:12.200 --> 00:04:14.200]  内存条已经什么
[00:04:14.200 --> 00:04:16.200]  不够用了 要稍微休息一下是吧
[00:04:16.200 --> 00:04:18.200]  那如何判断三囊
[00:04:18.200 --> 00:04:20.200]  如何判断各国的走势
[00:04:20.200 --> 00:04:22.200]  进入三囊的预期
[00:04:22.200 --> 00:04:24.200]  是非常重要的
[00:04:24.200 --> 00:04:26.200]  我觉得是非常重要的
[00:04:26.200 --> 00:04:28.200]  因为我们说到了 我们一定要做上升趋势
[00:04:28.200 --> 00:04:30.200]  对吧
[00:04:30.200 --> 00:04:32.200]  一定要做上升趋势
[00:04:32.200 --> 00:04:34.200]  然后我们要判断
[00:04:34.200 --> 00:04:36.200]  我们要判断
[00:04:36.200 --> 00:04:38.200]  我们要判断
[00:04:38.200 --> 00:04:40.200]  我们要判断
[00:04:40.200 --> 00:04:42.200]  我们要判断
[00:04:42.200 --> 00:04:44.200]  我们要判断
[00:04:44.200 --> 00:04:46.200]  我们要判断
[00:04:46.200 --> 00:04:48.200]  我们要判断
[00:04:48.200 --> 00:04:50.200]  我们要判断
[00:04:50.200 --> 00:04:52.200]  我们要判断
[00:04:52.200 --> 00:04:54.200]  我们要判断
[00:04:54.200 --> 00:04:56.200]  我们要判断
[00:04:56.200 --> 00:04:58.200]  我们要判断
[00:04:58.200 --> 00:05:00.200]  我们要判断
[00:05:00.200 --> 00:05:02.200]  就简单明了了
[00:05:02.200 --> 00:05:04.200]  如果大家一旦用K线上来看
[00:05:04.200 --> 00:05:06.200]  它就可能
[00:05:06.200 --> 00:05:08.200]  确定性就没那么高
[00:05:08.200 --> 00:05:10.200]  因为我看到K线上可能是空头的一个结构
[00:05:10.200 --> 00:05:12.200]  大家也觉得这是一个模型 对吧
[00:05:12.200 --> 00:05:14.200]  昨天我们已经讲到了
[00:05:14.200 --> 00:05:16.200]  还是用50 20的方向来进行
[00:05:16.200 --> 00:05:18.200]  第一个是模5
[00:05:18.200 --> 00:05:20.200]  第二个是模型1的两种
[00:05:20.200 --> 00:05:22.200]  第三个是模型2
[00:05:22.200 --> 00:05:24.200]  模型2
[00:05:24.200 --> 00:05:26.200]  政府越来越小
[00:05:28.200 --> 00:05:30.200]  小巍巍
[00:05:30.200 --> 00:05:32.200]  我们在做有几个是
[00:05:32.200 --> 00:05:34.200]  小巍巍是18年开始上的正式课
[00:05:34.200 --> 00:05:36.200]  5期还是几期
[00:05:36.200 --> 00:05:38.200]  5期 对
[00:05:38.200 --> 00:05:40.200]  在做的可能他是最早的了
[00:05:40.200 --> 00:05:42.200]  对 郭姐是几期
[00:05:42.200 --> 00:05:44.200]  郭丹尼虽然1期
[00:05:44.200 --> 00:05:46.200]  但你前面基本上一年都没来上过课
[00:05:46.200 --> 00:05:48.200]  对吧
[00:05:48.200 --> 00:05:50.200]  名义是1期
[00:05:50.200 --> 00:05:52.200]  但是你来上课是差不多可能
[00:05:52.200 --> 00:05:54.200]  7 8 7了
[00:05:54.200 --> 00:05:56.200]  对吧
[00:05:56.200 --> 00:05:58.200]  然后我们小兰姐是
[00:05:58.200 --> 00:06:00.200]  你是结构2期
[00:06:00.200 --> 00:06:02.200]  是我要收官的时候
[00:06:02.200 --> 00:06:04.200]  对 我第一次
[00:06:04.200 --> 00:06:06.200]  休息
[00:06:06.200 --> 00:06:08.200]  第一次休息一年半的时候
[00:06:08.200 --> 00:06:10.200]  对 那个
[00:06:10.200 --> 00:06:12.200]  你是7 7还是8 7
[00:06:12.200 --> 00:06:14.200]  猜大哥
[00:06:14.200 --> 00:06:16.200]  对 你是7 7还是8 7
[00:06:16.200 --> 00:06:18.200]  记得老的
[00:06:18.200 --> 00:06:20.200]  记得老的
[00:06:20.200 --> 00:06:22.200]  陈大哥也是5 7还是7 7
[00:06:22.200 --> 00:06:24.200]  7 7啊
[00:06:24.200 --> 00:06:26.200]  对 只能大概5 7 7 7
[00:06:26.200 --> 00:06:28.200]  有的也记不得那么老了
[00:06:28.200 --> 00:06:30.200]  所以他们其实那个阶段学习的过程中
[00:06:30.200 --> 00:06:32.200]  我主要是讲
[00:06:32.200 --> 00:06:34.200]  波段天机
[00:06:34.200 --> 00:06:36.200]  其实后面我说另外波段结构学
[00:06:36.200 --> 00:06:38.200]  在那个阶段学习的时候呢
[00:06:38.200 --> 00:06:40.200]  我觉得怎么讲呢
[00:06:40.200 --> 00:06:42.200]  其实我那个时候跟大家分享的知识点
[00:06:42.200 --> 00:06:44.200]  非常重要 非常好
[00:06:44.200 --> 00:06:46.200]  但可能确确实实
[00:06:46.200 --> 00:06:48.200]  有一个最重要的区别就是我们昨天那个的
[00:06:48.200 --> 00:06:50.200]  卡位
[00:06:50.200 --> 00:06:52.200]  那个造型结构它到底是属于多头的
[00:06:52.200 --> 00:06:54.200]  有效结构
[00:06:54.200 --> 00:06:56.200]  还是属于非多头的有效结构
[00:06:56.200 --> 00:06:58.200]  那个阶段确实可能
[00:06:58.200 --> 00:07:00.200]  就是我说真心话
[00:07:00.200 --> 00:07:02.200]  你们来听课是听我轻飘飘的一句话的
[00:07:02.200 --> 00:07:04.200]  一个突破
[00:07:04.200 --> 00:07:06.200]  我自己可能真的熬了好久好久
[00:07:06.200 --> 00:07:08.200]  甚至经常啊 就是晚上睡到
[00:07:08.200 --> 00:07:10.200]  1 2点 甚至3 4点 脑子里面
[00:07:10.200 --> 00:07:12.200]  试一下想一下想起来
[00:07:12.200 --> 00:07:14.200]  我以前就是脑子里面半夜
[00:07:14.200 --> 00:07:16.200]  开悟了 然后实在起不来
[00:07:16.200 --> 00:07:18.200]  早上就忘了
[00:07:18.200 --> 00:07:20.200]  后面呢我就强迫自己起来
[00:07:20.200 --> 00:07:22.200]  把手机一打开 赶紧找几个K线图看
[00:07:22.200 --> 00:07:24.200]  看完之后赶紧在那个备忘录上
[00:07:24.200 --> 00:07:26.200]  赶紧记下来 然后再继续睡
[00:07:26.200 --> 00:07:28.200]  真的就是这样子的
[00:07:28.200 --> 00:07:30.200]  就是可能真的我跟大家分享
[00:07:30.200 --> 00:07:32.200]  你们看到我可能 我说
[00:07:32.200 --> 00:07:34.200]  就像昨天那个趋势的变化
[00:07:34.200 --> 00:07:36.200]  我都
[00:07:36.200 --> 00:07:38.200]  反正不知道磨了多久
[00:07:38.200 --> 00:07:40.200]  后面我今天跟他讲那个买点的变化
[00:07:40.200 --> 00:07:42.200]  也不知道磨多久
[00:07:42.200 --> 00:07:44.200]  因为我觉得这个地方
[00:07:44.200 --> 00:07:46.200]  我自己在操作的过程中我觉得还差了一点
[00:07:46.200 --> 00:07:48.200]  为什么有的时候做的能对
[00:07:48.200 --> 00:07:50.200]  有的时候我也会被打止损
[00:07:50.200 --> 00:07:52.200]  那这个过程中怎么样能够把止损的防空位
[00:07:52.200 --> 00:07:54.200]  能够卡得更牢一点
[00:07:54.200 --> 00:07:56.200]  就是要去动脑筋的呀
[00:07:56.200 --> 00:07:58.200]  昨天陈总说的那个我都觉得挺恰当的
[00:07:58.200 --> 00:08:00.200]  就是我给你们的是一片叶子
[00:08:00.200 --> 00:08:02.200]  你们自己能生根
[00:08:02.200 --> 00:08:04.200]  那就更优秀了
[00:08:04.200 --> 00:08:06.200]  我是属于自己有叶子
[00:08:06.200 --> 00:08:08.200]  自己必须给自己生根的
[00:08:08.200 --> 00:08:10.200]  是 好 我们回到
[00:08:10.200 --> 00:08:12.200]  回到那个
[00:08:12.200 --> 00:08:14.200]  小文化的
[00:08:14.200 --> 00:08:16.200]  模型是那个张卫峰大哥
[00:08:16.200 --> 00:08:18.200]  最强的模型请你来
[00:08:18.200 --> 00:08:20.200]  记得吗
[00:08:20.200 --> 00:08:22.200]  就是那个弄光线的
[00:08:22.200 --> 00:08:24.200]  那个复黄烹水的
[00:08:24.200 --> 00:08:26.200]  那个小微做的那个中兵弘剑的
[00:08:26.200 --> 00:08:28.200]  还有那个抗水打的那个最强的那个模型
[00:08:28.200 --> 00:08:30.200]  你来
[00:08:30.200 --> 00:08:36.200]  你记得吧
[00:08:36.200 --> 00:08:38.200]  就看你姐弟的
[00:08:40.200 --> 00:08:42.200]  我记得
[00:08:42.200 --> 00:08:44.200]  你那样能画出来
[00:08:44.200 --> 00:08:46.200]  这个是你自己的画
[00:08:46.200 --> 00:08:52.200]  你这就
[00:08:52.200 --> 00:08:54.200]  你这就画出来就行
[00:08:54.200 --> 00:08:56.200]  好 可以了
[00:08:56.200 --> 00:08:58.200]  非常好
[00:08:58.200 --> 00:09:00.200]  感谢我们这两位同学
[00:09:00.200 --> 00:09:02.200]  然后我们来看
[00:09:02.200 --> 00:09:04.200]  我们来看
[00:09:04.200 --> 00:09:06.200]  好
[00:09:06.200 --> 00:09:08.200]  感谢我们这两位同学
[00:09:08.200 --> 00:09:10.200]  然后我们来看一下就是
[00:09:10.200 --> 00:09:12.200]  这是模型结构
[00:09:12.200 --> 00:09:14.200]  为什么我今天在讲
[00:09:14.200 --> 00:09:16.200]  Sign On
[00:09:16.200 --> 00:09:18.200]  因为我现在在分享的是
[00:09:18.200 --> 00:09:20.200]  怎么样确定预判
[00:09:20.200 --> 00:09:22.200]  对吧
[00:09:22.200 --> 00:09:24.200]  预判
[00:09:24.200 --> 00:09:26.200]  Sign On的
[00:09:26.200 --> 00:09:28.200]  预期
[00:09:28.200 --> 00:09:32.200]  我能说预期
[00:09:32.200 --> 00:09:34.200]  我觉得很难说百分之百
[00:09:34.200 --> 00:09:36.200]  那我们
[00:09:36.200 --> 00:09:38.200]  这个模型结构大家应该都记得了
[00:09:38.200 --> 00:09:40.200]  对不对
[00:09:40.200 --> 00:09:42.200]  在这个模型结构的过程中
[00:09:42.200 --> 00:09:44.200]  模型结构我们讲了
[00:09:44.200 --> 00:09:46.200]  是不是还是在架的层面
[00:09:46.200 --> 00:09:48.200]  但是还是在架的层面
[00:09:48.200 --> 00:09:50.200]  我们说一根K线
[00:09:50.200 --> 00:09:52.200]  一个架子一天叫K线
[00:09:52.200 --> 00:09:54.200]  多根K线连在一起叫什么
[00:09:54.200 --> 00:09:56.200]  一个波段对不对
[00:09:56.200 --> 00:09:58.200]  多根K线连在一起
[00:09:58.200 --> 00:10:00.200]  就叫一个波段
[00:10:00.200 --> 00:10:02.200]  多根波段连在一起就是什么
[00:10:02.200 --> 00:10:04.200]  结构
[00:10:04.200 --> 00:10:06.200]  或者大家也可以说是什么形态
[00:10:06.200 --> 00:10:08.200]  对吧
[00:10:08.200 --> 00:10:10.200]  是不是这样子
[00:10:10.200 --> 00:10:12.200]  那还是属于我们说的模型还是在架的层面
[00:10:12.200 --> 00:10:14.200]  那么这个架的层面
[00:10:14.200 --> 00:10:16.200]  我们还要去叠架一下
[00:10:16.200 --> 00:10:18.200]  式的层面
[00:10:18.200 --> 00:10:20.200]  再叠架式的层面
[00:10:20.200 --> 00:10:22.200]  这个架的层面大家就很熟悉了
[00:10:22.200 --> 00:10:24.200]  式的层面我们要怎么去看呢
[00:10:24.200 --> 00:10:26.200]  我们就卡几个要点
[00:10:26.200 --> 00:10:28.200]  卡几个重要点
[00:10:28.200 --> 00:10:30.200]  可以拍照
[00:10:30.200 --> 00:10:32.200]  还是那种不要录像
[00:10:32.200 --> 00:10:34.200]  可以拍照照电
[00:10:34.200 --> 00:10:36.200]  等我讲完再拍我还没讲完
[00:10:36.200 --> 00:10:38.200]  等我讲完再拍但是不要录像
[00:10:38.200 --> 00:10:40.200]  再次强调
[00:10:40.200 --> 00:10:42.200]  然后我们所说的
[00:10:42.200 --> 00:10:44.200]  模型里面
[00:10:44.200 --> 00:10:46.200]  这里画的还稍微快一点
[00:10:46.200 --> 00:10:48.200]  对这个下端有个突破
[00:10:48.200 --> 00:10:50.200]  模型不管哪个是什么形
[00:10:50.200 --> 00:10:52.200]  它是不是这都有一根波段
[00:10:52.200 --> 00:10:54.200]  是对过去的一个终结
[00:10:54.200 --> 00:10:56.200]  叫扭转波段
[00:10:56.200 --> 00:10:58.200]  如果说达不到就没有
[00:10:58.200 --> 00:11:00.200]  扭转波段包括我们来看
[00:11:00.200 --> 00:11:02.200]  这个模型这里叫对过去的
[00:11:02.200 --> 00:11:04.200]  终结的扭转波段
[00:11:04.200 --> 00:11:06.200]  扭转波段的要求
[00:11:06.200 --> 00:11:08.200]  就是我们昨天也讲过了
[00:11:08.200 --> 00:11:10.200]  你必须给我价格的向上
[00:11:10.200 --> 00:11:12.200]  把
[00:11:12.200 --> 00:11:14.200]  趋势扭空
[00:11:14.200 --> 00:11:16.200]  转多
[00:11:16.200 --> 00:11:18.200]  大家能理解吗
[00:11:18.200 --> 00:11:20.200]  如果这样一个有效扭转
[00:11:20.200 --> 00:11:22.200]  我们先从这个开始
[00:11:22.200 --> 00:11:24.200]  这样一个有效扭转
[00:11:24.200 --> 00:11:26.200]  它也突破了就是价格突破了
[00:11:26.200 --> 00:11:28.200]  过去的趋势的线我们以前讲到这种
[00:11:28.200 --> 00:11:30.200]  突破就OK了对吧
[00:11:30.200 --> 00:11:32.200]  但是它突破了代表这个趋势的
[00:11:32.200 --> 00:11:34.200]  终结并不代表它真正能够转多
[00:11:34.200 --> 00:11:36.200]  如果它
[00:11:36.200 --> 00:11:38.200]  突破价格的向上没有办法
[00:11:38.200 --> 00:11:40.200]  带动趋势的向上
[00:11:40.200 --> 00:11:42.200]  那么这个扭转可以直接定性
[00:11:42.200 --> 00:11:44.200]  为非1不是我们
[00:11:44.200 --> 00:11:46.200]  只说1m
[00:11:46.200 --> 00:11:48.200]  大家慢慢理解有意思啊
[00:11:48.200 --> 00:11:50.200]  那如果说这里的向上能够
[00:11:50.200 --> 00:11:52.200]  价格的向上把式
[00:11:52.200 --> 00:11:54.200]  转为那我们就从这个位置
[00:11:54.200 --> 00:11:56.200]  来看1
[00:11:56.200 --> 00:11:58.200]  因为前提要求就是
[00:11:58.200 --> 00:12:00.200]  有删一吗
[00:12:00.200 --> 00:12:02.200]  前提要求就是我们所说的
[00:12:02.200 --> 00:12:04.200]  一浪的核心就必须
[00:12:04.200 --> 00:12:06.200]  由空转多
[00:12:06.200 --> 00:12:10.200]  一浪的核心
[00:12:10.200 --> 00:12:12.200]  就必须是由空转多
[00:12:12.200 --> 00:12:14.200]  那么我们说
[00:12:14.200 --> 00:12:16.200]  强二浪真正的二浪
[00:12:16.200 --> 00:12:18.200]  是不是代表着
[00:12:18.200 --> 00:12:20.200]  昨天讲的那句话是怎么说的
[00:12:20.200 --> 00:12:22.200]  所有的调整浪它都是属于什么
[00:12:22.200 --> 00:12:24.200]  趋势中的
[00:12:24.200 --> 00:12:26.200]  修正
[00:12:26.200 --> 00:12:28.200]  那么OK我们就知道
[00:12:28.200 --> 00:12:30.200]  二浪就必须是多方
[00:12:30.200 --> 00:12:32.200]  修正
[00:12:32.200 --> 00:12:36.200]  多方修正
[00:12:36.200 --> 00:12:38.200]  那这个大家不能明白
[00:12:38.200 --> 00:12:40.200]  像模型三代就很好理解了
[00:12:40.200 --> 00:12:42.200]  模型三这里
[00:12:42.200 --> 00:12:44.200]  有些扭转的这我一浪
[00:12:44.200 --> 00:12:46.200]  那么在这位置ABC
[00:12:46.200 --> 00:12:48.200]  然后在这里扭转这K线3浪E3浪
[00:12:48.200 --> 00:12:50.200]  我只有3浪E1其实会很清晰
[00:12:50.200 --> 00:12:52.200]  模型四也很清楚对吧
[00:12:52.200 --> 00:12:54.200]  模型二也很清楚
[00:12:54.200 --> 00:12:56.200]  如果模型二这里面跌下来
[00:12:56.200 --> 00:12:58.200]  我又不再讲了
[00:12:58.200 --> 00:13:00.200]  模型三就是E这是二这些
[00:13:00.200 --> 00:13:02.200]  这些就用来走3-7
[00:13:02.200 --> 00:13:04.200]  然后这里也需要什么
[00:13:04.200 --> 00:13:06.200]  这一段整个把它长得多头
[00:13:06.200 --> 00:13:08.200]  整个调整的上方调整
[00:13:08.200 --> 00:13:10.200]  那我们就用来走3-7
[00:13:10.200 --> 00:13:12.200]  因为如果你不走3
[00:13:12.200 --> 00:13:14.200]  那你为什么二调整能够保持多种趋势
[00:13:14.200 --> 00:13:16.200]  所有的东西
[00:13:16.200 --> 00:13:18.200]  一定要记住我们是什么
[00:13:18.200 --> 00:13:20.200]  我们在市场是什么角色
[00:13:20.200 --> 00:13:22.200]  跟随
[00:13:22.200 --> 00:13:24.200]  那么市场这个股价
[00:13:24.200 --> 00:13:26.200]  表现出来的东西
[00:13:26.200 --> 00:13:28.200]  你就要去思考为什么要这么去呈现
[00:13:28.200 --> 00:13:30.200]  你要去
[00:13:30.200 --> 00:13:32.200]  按正常的思维
[00:13:32.200 --> 00:13:34.200]  和非正常的思维
[00:13:34.200 --> 00:13:36.200]  你去思考
[00:13:36.200 --> 00:13:38.200]  大家明白我意思没有
[00:13:38.200 --> 00:13:40.200]  所以我觉得佐证那样的字在股市里面
[00:13:40.200 --> 00:13:42.200]  用的很多
[00:13:42.200 --> 00:13:44.200]  我跟黄鹤大哥在聊
[00:13:44.200 --> 00:13:46.200]  我们两个在聊一个股票
[00:13:46.200 --> 00:13:48.200]  我说大概有20个点的空间
[00:13:48.200 --> 00:13:50.200]  然后我当时的
[00:13:50.200 --> 00:13:52.200]  总政思维就是那个股票前面
[00:13:52.200 --> 00:13:54.200]  冲过了前高
[00:13:54.200 --> 00:13:56.200]  现在又拿到了这个前高点附近
[00:13:56.200 --> 00:13:58.200]  如果你冲过前高
[00:13:58.200 --> 00:14:00.200]  说明如果没了
[00:14:00.200 --> 00:14:02.200]  那你就应该跌下去了
[00:14:02.200 --> 00:14:04.200]  你过了前高之后你现在又开始来到前高一点
[00:14:04.200 --> 00:14:06.200]  说明那个前高是什么
[00:14:06.200 --> 00:14:08.200]  是你的目的仅仅只是我们所说的
[00:14:08.200 --> 00:14:10.200]  我在做扭转
[00:14:10.200 --> 00:14:12.200]  解放过去的套牢牌
[00:14:12.200 --> 00:14:14.200]  扭转的动作
[00:14:14.200 --> 00:14:16.200]  再来到这里说明我的目的是还有向上拉升的空间预期
[00:14:16.200 --> 00:14:18.200]  呈现在结构上就是我们说的
[00:14:18.200 --> 00:14:20.200]  有效扭转ABC调整
[00:14:20.200 --> 00:14:22.200]  再次启动
[00:14:22.200 --> 00:14:24.200]  大家明白我意思没有
[00:14:24.200 --> 00:14:26.200]  但你要从为什么他敢再来佐证的角度
[00:14:26.200 --> 00:14:28.200]  就让我们讲调整
[00:14:28.200 --> 00:14:30.200]  为什么他敢保持多头趋势整领
[00:14:30.200 --> 00:14:32.200]  你想想看
[00:14:32.200 --> 00:14:34.200]  不做的股票就撤掉了
[00:14:34.200 --> 00:14:36.200]  是不是这样的
[00:14:36.200 --> 00:14:38.200]  所有的多头
[00:14:38.200 --> 00:14:40.200]  一定是在关键下跌的时候
[00:14:40.200 --> 00:14:42.200]  能够收得起来
[00:14:42.200 --> 00:14:44.200]  大家认同吧
[00:14:44.200 --> 00:14:46.200]  市场环境那么多股票
[00:14:46.200 --> 00:14:48.200]  每天的变化都不一样
[00:14:48.200 --> 00:14:50.200]  为什么每次关键下跌的时候
[00:14:50.200 --> 00:14:52.200]  它能扛住不跌
[00:14:52.200 --> 00:14:54.200]  关键的时候它能够控得住
[00:14:54.200 --> 00:14:56.200]  所以大家思考这个多头的佐证
[00:14:56.200 --> 00:14:58.200]  二就是多方修正
[00:14:58.200 --> 00:15:00.200]  既然是多方修正
[00:15:00.200 --> 00:15:02.200]  三走出一个拐点
[00:15:02.200 --> 00:15:04.200]  是不是就是我们走三方领域期了
[00:15:04.200 --> 00:15:06.200]  这个大家都很好理解
[00:15:06.200 --> 00:15:08.200]  但是有一种
[00:15:08.200 --> 00:15:10.200]  另外一个思路就是
[00:15:10.200 --> 00:15:12.200]  一也是转多了
[00:15:12.200 --> 00:15:14.200]  但是我二
[00:15:14.200 --> 00:15:16.200]  转空了
[00:15:16.200 --> 00:15:18.200]  又没有创新低
[00:15:18.200 --> 00:15:20.200]  大家仔细听
[00:15:20.200 --> 00:15:22.200]  又没有创新低
[00:15:22.200 --> 00:15:28.200]  又没有创新低
[00:15:28.200 --> 00:15:30.200]  就是我转空了又没有创新低
[00:15:30.200 --> 00:15:32.200]  我一的扭转也是符合我们所说
[00:15:32.200 --> 00:15:34.200]  一的扭转也是符合我们量价的
[00:15:34.200 --> 00:15:36.200]  这个时候我们得怎么做呢
[00:15:36.200 --> 00:15:38.200]  就需要第三步
[00:15:38.200 --> 00:15:40.200]  针对这个转空没有创新低
[00:15:40.200 --> 00:15:42.200]  重新放量
[00:15:42.200 --> 00:15:44.200]  重新扭转
[00:15:44.200 --> 00:15:48.200]  重新放量重新扭转
[00:15:48.200 --> 00:15:50.200]  那这个重新放量重新扭转
